amount,hour,day_of_week,merchant_category,is_fraud
6.385255876588565,8,2,restaurant,0
58.41927802864137,22,1,restaurant,0
27.758195840703006,17,6,retail,0
219.51202909958604,18,5,retail,0
39.589760595934656,8,3,grocery,0
3.758604833333607,7,1,grocery,0
84.0552403290467,4,3,retail,0
45.734970844427956,20,6,retail,0
1994.8809672336115,0,6,online,1
10.319258622320618,21,5,retail,0
49.590522983065185,0,6,retail,0
7.155646097101175,20,0,online,0
33.74036371848358,21,5,restaurant,0
70.80080510241902,13,0,online,0
77.48061195653553,11,3,restaurant,0
12.43530129492437,19,3,travel,0
8.421515399909298,2,4,retail,0
69.16708000411464,18,3,retail,0
8.72422553789508,21,0,grocery,0
13.163927293752767,17,4,retail,0
25.87420627177574,16,6,grocery,0
27.351334508988604,11,3,online,0
101.2911618579648,19,2,grocery,0
535.497085865247,2,2,grocery,0
140.8830038258987,5,5,grocery,0
11.467730311930747,21,5,retail,0
391.26043503603387,3,1,restaurant,0
20.557217522884365,12,4,online,0
60.70495379941997,16,2,restaurant,0
212.85274559172404,16,3,restaurant,0
192.45243477821086,19,6,online,0
186.4458146014427,14,1,online,0
15.955559324970695,7,1,grocery,0
117.30565044893984,4,5,restaurant,0
121.95557675284816,2,3,grocery,0
30.18468708833511,0,6,travel,0
80.02372650141065,0,6,online,0
188.33062764181815,22,0,restaurant,0
97.57679341875607,21,0,retail,0
85.53376195610565,9,3,online,0
167.53945956018052,1,6,restaurant,0
7.630365322687204,11,6,online,0
8.058168120974711,6,6,retail,0
37.04179423712776,2,0,online,0
8.35424950551135,20,4,grocery,0
3.940219611301292,8,4,grocery,0
91.79175845570188,21,2,restaurant,0
2.8379313165122424,13,0,restaurant,0
27.8312612365024,12,2,grocery,0
41.103169907661815,5,5,retail,0
1.0028970004385431,22,0,retail,0
114.96073995611567,13,1,grocery,0
46.4060770467928,0,1,restaurant,0
185.43143513307552,19,5,grocery,0
16.315270740776395,23,6,retail,0
73.29278710843329,9,6,grocery,0
196.5543993050963,11,3,online,0
8.52258175133963,14,5,restaurant,0
5.114322779796469,9,5,retail,0
32.23577103369666,0,5,grocery,0
11.291263975638548,17,3,online,0
80.88515958773995,10,2,retail,0
304.21385513538166,11,5,grocery,0
55.87798461301579,3,2,retail,0
19.606926865651005,16,2,retail,0
5.006764703435681,3,3,online,0
33.69706693885258,9,4,grocery,0
228.68638716359965,12,4,retail,0
36.44842750923704,10,0,restaurant,0
8.33406250125781,2,0,retail,0
103.93976048249168,0,3,retail,0
14.215399904335987,21,2,online,0
149.52101137899567,6,0,grocery,0
55.54689114944539,0,3,grocery,0
55.77931910384413,16,3,grocery,0
58.58050198081388,20,0,restaurant,0
34.55938984525935,19,3,restaurant,0
23.441611392469973,12,4,restaurant,0
28.899469106762286,1,4,restaurant,0
29.486846004630934,17,6,restaurant,0
3.124298952835384,8,6,restaurant,0
109.19754616317678,7,0,online,0
11.029458089085443,4,4,restaurant,0
24.934724642292746,16,6,restaurant,0
3.7967349708771025,17,5,online,0
24.542672916087696,0,4,restaurant,0
49.868142388166255,12,3,grocery,0
21.254479760255624,12,6,retail,0
37.12954594522606,11,2,grocery,0
44.72762950567644,18,3,online,0
12.842934209402689,10,1,restaurant,0
38.31162124940747,7,2,grocery,0
40.027598339989794,0,0,retail,0
8.155488212441481,21,1,online,0
24.48726867933482,0,4,grocery,0
54.78623261232665,11,2,retail,0
85.81436911395696,8,4,retail,0
20.613450041934716,17,6,retail,0
18.3516054840574,15,1,grocery,0
46.509834958366184,22,0,retail,0
26.955983083771347,17,2,restaurant,0
16.008856372699576,8,5,retail,0
7.906109396219031,1,2,travel,0
55.58747774990144,0,1,retail,0
5.1958429240142925,14,3,retail,0
361.35612309752366,14,5,restaurant,0
45.10803854467959,19,5,retail,0
14.165318829053724,23,2,travel,0
16.45599108933258,4,6,retail,0
180.6431571718891,22,3,retail,0
3.814199141150703,14,2,grocery,0
21.36634165871275,2,3,restaurant,0
246.69247202067692,4,3,restaurant,0
3.6676571477086912,19,2,restaurant,0
75.46162629230147,7,4,travel,0
1110.6759922511867,1,4,retail,0
2.828003685521665,11,1,retail,0
35.55433610481743,6,1,grocery,0
76.04059224136734,23,4,retail,0
30.91605125162433,21,3,grocery,0
42.548147370201036,11,0,travel,0
7.015152486713554,9,0,grocery,0
24.018651897788,18,0,restaurant,0
31.339691884935057,7,3,travel,0
77.4575784786604,13,6,restaurant,0
6659.166053927143,1,2,grocery,1
35.780647242958565,16,1,grocery,0
19.360089895678975,17,1,restaurant,0
74.08561366642334,1,5,grocery,0
53.958604117544084,4,0,retail,0
25.58726492017396,21,2,retail,0
33.04740400130619,13,6,restaurant,0
30.800025717523518,14,3,restaurant,0
30.241080297865473,2,3,retail,0
46.7490850903644,14,6,restaurant,0
188.40315909187393,21,4,restaurant,0
224.03985316997765,2,6,online,0
18.109384332819268,23,4,online,0
70.83783352024967,22,5,retail,0
15.168365687959144,12,2,grocery,0
5.8369135519239865,18,2,restaurant,0
68.76441776500751,22,0,restaurant,0
3.1131332732431276,17,4,grocery,0
178.02398911773147,19,6,online,0
37.01835539430368,15,3,restaurant,0
107.24454490354758,20,3,restaurant,0
28.848525492708283,16,3,grocery,0
21.80656614638822,15,4,grocery,0
4.371852286399686,1,3,restaurant,0
84.84307172822545,16,6,retail,0
13.042340562854871,1,5,grocery,0
38.96547897639274,6,4,retail,0
201.16064025528658,9,3,travel,0
16.5655548273872,10,2,restaurant,0
11.295459261433843,19,5,restaurant,0
15.567019886885626,0,0,retail,0
1.2774487481519239,17,2,restaurant,0
146.25908068936667,21,4,retail,0
280.94493535074713,14,6,grocery,0
33.84877985368843,8,4,retail,0
36.25914579253417,23,5,grocery,0
94.32863141397804,5,3,online,0
9.686516145994615,3,3,grocery,0
12.583012437653743,18,6,restaurant,0
6.158164267745868,15,4,grocery,0
20.77984806483269,2,6,online,0
189.40977617747774,20,2,retail,0
26.00518964690243,9,3,travel,0
18.083215774658683,13,1,retail,0
72.81080251289161,22,6,online,0
19.627236855895173,23,2,grocery,0
30.162377318307065,8,0,retail,0
125.41645132047664,4,2,online,0
4.081891703058309,5,5,online,0
172.88335591116274,14,3,restaurant,0
106.71307387627743,23,1,restaurant,0
4.2973603841434995,2,1,retail,0
43.96827607229797,15,6,grocery,0
13.60179949917391,12,1,grocery,0
68.02766604220285,23,4,grocery,0
56.62089351187336,5,2,retail,0
34.49795896702115,15,1,grocery,0
12.109203023942305,0,0,grocery,0
2.500532679783556,11,5,grocery,0
306.404905981888,23,1,online,1
11.308727260966755,18,0,retail,0
0.9145133939294181,4,4,restaurant,0
11.804298955019664,12,5,restaurant,0
76.28550675494297,11,1,retail,0
123.81394916836938,22,0,restaurant,0
49.802319212714465,12,6,grocery,0
0.9559031013480045,18,5,retail,0
38.38603962219287,1,3,grocery,0
92.27480834009712,3,6,restaurant,0
11.44031408137438,4,4,restaurant,0
5.991137030309759,0,6,grocery,0
18.64158900717057,15,5,grocery,0
48.67653451159239,3,3,grocery,0
66.95579073135477,18,4,retail,0
125.02288532495501,22,3,online,0
61.79640688304235,14,2,restaurant,0
277.74458045154284,9,6,online,0
43.748613673082446,17,1,online,0
20.8303910700593,21,3,restaurant,0
54.10729974443582,17,5,restaurant,0
19.08240908853826,3,2,restaurant,0
28.64165771909372,9,0,grocery,0
2.6498436585431997,7,4,retail,0
19.794071808768077,3,2,restaurant,0
6.74286835033664,15,5,grocery,0
36.9439454480713,15,6,retail,0
6.22589640881486,18,2,grocery,0
120.07244187039825,13,3,restaurant,0
2.5524155403504794,2,1,grocery,0
11.780298345707509,10,6,online,0
35.779292267564024,23,1,retail,0
52.32059408182042,9,3,grocery,0
27.64481617286496,20,6,online,0
21.08241182522856,9,3,retail,0
20.791600057788788,16,6,restaurant,0
29.415887709170914,12,6,grocery,0
28.415678580974085,20,0,retail,0
30.414320451161917,13,1,retail,0
18.724815306184155,15,6,grocery,0
75.26354220770872,17,5,grocery,0
3.981007371010857,0,4,retail,0
47.09983597818976,2,2,online,0
19.78328383928812,18,5,restaurant,0
60.72798180968036,22,2,restaurant,0
5.751668168319535,8,5,grocery,0
21.554971367895657,6,3,grocery,0
46.69626079064935,17,0,retail,0
44.71192513136735,20,0,grocery,0
70.4959041035388,9,3,grocery,0
5.755432914539207,0,1,grocery,0
33.68087023944836,5,5,grocery,0
45.74825747860761,15,0,retail,0
174.41516397844512,10,5,grocery,0
34.277658543165614,6,6,retail,0
10.604268478130244,16,1,retail,0
137.15449267580624,16,5,restaurant,0
17.78040189087461,20,3,retail,0
87.67842547337479,9,5,online,0
60.211664632009025,19,2,grocery,0
37.093178363611344,3,4,restaurant,0
28.258569966305764,20,6,restaurant,0
3818.4199591611814,23,4,online,1
35.034100335522325,13,5,travel,0
6.5108042953718055,15,1,grocery,0
46.348706786837944,13,6,retail,0
33.82282607837575,0,0,retail,0
28.370422624022968,18,1,restaurant,0
183.60127766962464,4,1,grocery,0
89.02555614652121,14,6,grocery,0
249.9922210365011,14,6,restaurant,0
17.466618020707326,4,4,retail,0
12.744997016997257,17,2,retail,0
47.97114168062722,9,1,restaurant,0
65.66623044224318,20,4,retail,0
334.67651450301094,3,3,online,1
46.20384483640775,12,4,retail,0
41.88862482239298,9,4,online,0
191.451617479406,17,6,restaurant,0
44.95569120729808,18,5,retail,0
21.405873464824122,4,5,travel,0
23.94306869738652,20,6,grocery,0
66.18716888068666,23,4,retail,0
160.55072706718852,16,3,retail,0
8.130831162336172,10,4,grocery,0
65.4920035893609,16,2,restaurant,0
52.51204051299189,0,0,retail,0
19.712216629712067,0,2,restaurant,0
4.281300904465583,20,6,retail,0
101.4036410443586,1,0,retail,0
28.86276008162817,18,6,restaurant,0
123.45250928070935,0,4,grocery,0
37.23333462499333,20,4,online,0
32.192625962581154,2,5,grocery,0
8.948814872769395,8,3,restaurant,0
35.99009505326932,15,4,retail,0
32.564805712264835,20,1,restaurant,0
29.573453422251873,16,2,online,0
37.22277973592541,1,2,grocery,0
121.03348840315384,3,0,retail,0
697.3294358246089,3,3,retail,0
618.7509737426319,16,2,grocery,0
47.08820022314393,16,5,restaurant,0
12.657112293306955,7,3,grocery,0
59.827221488737905,23,3,retail,0
122.4724309159447,14,1,grocery,0
18.855115196438042,13,4,online,0
3.367149885368983,8,3,retail,0
3.361932830958036,23,6,grocery,0
169.21280419796096,2,4,grocery,0
49.720870846640445,19,0,travel,0
23.041034373450554,3,5,retail,0
49.01339938293793,8,2,restaurant,0
3.200122310258504,8,6,grocery,0
114.50944010286898,9,6,grocery,0
64.53621352261887,19,3,online,0
304.8587305518145,3,3,online,1
18.52794005586448,0,2,retail,0
84.72819965303339,8,3,grocery,0
22.10327633211884,4,2,restaurant,0
970.2806245985873,19,0,travel,0
38.22525573687949,2,4,retail,0
57.3279986666379,21,4,online,0
15.893153715929273,3,0,retail,0
20.861414646499608,0,5,grocery,0
2.3159440300534038,9,1,online,0
47.08438016978491,7,6,grocery,0
9.161199295560042,1,3,travel,0
32.33504535502577,5,1,grocery,0
3.930575666352421,10,3,grocery,0
68.68122084115826,0,3,grocery,0
22.589880075084942,20,4,grocery,0
176.08350805195573,15,2,restaurant,0
36.116362465772994,17,0,grocery,0
14.529099438650944,10,6,online,0
15.873539990051738,3,0,restaurant,0
4.046310312393808,16,0,grocery,0
15.1343356738403,6,4,restaurant,0
138.7028820614754,20,1,retail,0
29.325666946605228,20,0,restaurant,0
88.60358441532992,6,6,retail,0
28.56654499125573,19,2,online,0
36.008769355053055,2,6,grocery,0
84.97989708296608,6,5,retail,0
10.260688488191171,13,2,grocery,0
472.1024093758982,20,2,restaurant,0
51.04856679710047,2,3,grocery,0
10.99649060753128,4,2,grocery,0
42.67767206288303,0,4,retail,0
36.41050611682647,19,3,restaurant,0
87.35947126413308,15,6,grocery,0
208.53782539670496,21,0,restaurant,0
244.37986938758988,4,1,retail,0
44.23809615867769,3,0,retail,0
9.504463656661265,10,6,grocery,0
161.95092548937365,9,4,retail,0
18.357470020352952,7,5,retail,0
2.817404698775917,6,2,grocery,0
69.3333048159957,12,2,grocery,0
13.704972981021445,20,3,grocery,0
59.2450112147244,0,2,restaurant,0
184.49827949327874,3,2,grocery,0
64.83166481731641,20,0,travel,0
9.628757467064585,5,0,travel,0
38.436626561047845,3,3,grocery,0
31.17930144861943,21,0,restaurant,0
17.34755604494294,11,0,retail,0
28.740801482400823,15,2,grocery,0
88.80822713640275,6,6,retail,0
49.70873201585055,18,6,restaurant,0
17.60413539793902,22,3,retail,0
8.856452577321418,7,5,grocery,0
22.700138038369065,13,6,grocery,0
39.31706009751128,23,6,retail,0
109.58699198376749,0,5,grocery,0
112.47240336246168,13,5,online,0
314.72902563401266,23,4,online,1
22.662247780729306,9,0,restaurant,0
8.314347767995061,2,4,restaurant,0
21.992213995673374,17,2,restaurant,0
31.974551250341197,10,4,restaurant,0
0.7374840021129564,14,2,online,0
13.319580376043769,22,6,online,0
17.21696653381656,15,2,grocery,0
58.6441850801216,10,0,restaurant,0
17.771569058765987,9,4,grocery,0
96.95353702782987,12,2,grocery,0
14.859873585740882,16,4,restaurant,0
18.703766686577975,15,1,grocery,0
17.15276940986323,0,5,restaurant,0
36.83281313483175,1,3,grocery,0
29.543567042021806,23,5,online,0
52.12556464162121,4,6,restaurant,0
47.377250999622994,23,3,retail,0
194.62117574401987,7,0,restaurant,0
17.828937023242137,17,4,restaurant,0
30.66230297885578,23,3,online,0
4.609749082714524,15,2,retail,0
7.595706149134987,19,4,restaurant,0
2.257194160399081,23,0,retail,0
17.420016958281614,9,6,retail,0
15.168307331749025,5,4,grocery,0
53.39818294537519,23,0,restaurant,0
61.3948896277305,7,1,online,0
29.706327232037776,9,5,restaurant,0
59.722888761693916,9,0,travel,0
14.62508216219705,16,6,restaurant,0
30.334061940879955,1,0,restaurant,0
16.164197733448514,14,5,grocery,0
31.655604997044538,4,0,online,0
28.81233267066163,18,5,retail,0
3.8046819045639437,7,2,restaurant,0
2.1607486579628055,16,0,restaurant,0
7.219969104267664,2,4,retail,0
7.825757749297084,3,3,retail,0
65.27516058796795,12,3,restaurant,0
86.27962364864524,12,5,restaurant,0
1528.0215628104409,13,6,restaurant,0
33.89466018245604,12,3,restaurant,0
61.04551250972058,6,2,retail,0
41.09544316492046,9,0,retail,0
75.43427535269946,13,3,restaurant,0
12.590668196078461,1,0,retail,0
9.305410988347575,9,1,retail,0
185.6225709111198,2,2,restaurant,0
16.546018223249995,18,4,grocery,0
69.97153845976429,7,2,grocery,0
120.35095294941807,11,5,restaurant,0
33.17985244442301,9,6,grocery,0
56.43209137787834,23,4,grocery,0
25.1420467409057,16,3,retail,0
5.826306810850385,19,2,grocery,0
15.283773034116578,6,2,grocery,0
46.15609212117232,14,6,restaurant,0
58.83728725389344,4,1,grocery,0
33.40933051506437,17,3,restaurant,0
55.16813764184388,15,1,online,0
44.103846057216366,1,2,online,0
22.689356152597018,6,4,retail,0
14.854330748509163,19,3,restaurant,0
13.08482237355543,8,0,online,0
29.409931286695233,5,5,retail,0
3.6235264163385663,0,6,grocery,0
1017.0942854534546,1,5,travel,1
59.04142251331597,7,6,retail,0
255.64944022314447,18,3,restaurant,0
159.46719120951695,10,0,online,0
18.427216030474355,11,3,restaurant,0
55.91718545303193,20,4,restaurant,0
294.31560840565487,22,0,grocery,0
240.8011681668741,16,3,grocery,0
18.18003090363942,20,4,restaurant,0
3.5080126998916885,0,3,grocery,0
251.39533009375683,2,1,retail,0
38.13943942167034,19,4,grocery,0
52.51249104577166,13,4,retail,0
45.43401139960616,22,4,retail,0
82.85199672016688,19,1,restaurant,0
10.611967725300886,3,3,retail,0
102.65216321789133,9,2,grocery,0
411.28607747014087,16,1,retail,0
142.677983161101,6,0,retail,0
517.5629121429314,15,5,restaurant,0
77.46740815002416,15,5,restaurant,0
10.882460809147108,11,5,retail,0
23.780317862297906,19,3,grocery,0
67.66635450707551,9,1,restaurant,0
45.95271169021309,3,2,online,0
155.85250963123246,6,3,restaurant,0
391.1122345395429,2,2,online,0
357.9382132875174,2,0,online,0
7.640374568977207,14,4,grocery,0
29.55375836693738,4,3,online,0
90.08075857293682,12,4,grocery,0
31.130528686579627,13,5,restaurant,0
66.39088731659307,20,5,online,0
16.33100487591541,7,4,restaurant,0
79.69802819456986,13,6,retail,0
40.68108250627816,18,1,restaurant,0
64.74578515524111,15,4,retail,0
54.251419467712886,10,2,travel,0
34.78233693100707,15,5,retail,0
389.3903956320142,0,3,online,0
33.71804993473965,20,6,retail,0
229.23184376362727,1,6,grocery,0
14.088165005641175,8,5,online,0
77.37607687872749,12,0,restaurant,0
287.64184690943233,5,3,grocery,0
105.08969284785042,20,1,online,0
103.54631436508582,22,3,restaurant,0
27.87421571348721,23,3,grocery,0
12.969654327055082,6,6,restaurant,0
136.45381908063973,11,1,restaurant,0
68.58457607969179,8,5,retail,0
10.520770765197929,13,6,retail,0
6.556609947895438,21,5,retail,0
13.07186271674752,19,1,grocery,0
88.13814243105473,6,3,online,0
201.15544394190658,18,3,retail,0
14.870406518567243,22,4,restaurant,0
16.978341842833423,7,0,online,0
34.30587800895327,3,0,restaurant,0
651.1016931788312,3,4,travel,1
1.662088618824141,3,4,online,0
40.01128223141806,19,4,retail,0
24.63368302082271,23,4,retail,0
29.78668679905429,3,5,retail,0
9.9869211154383,19,6,retail,0
21.77304653481792,22,1,grocery,0
15.848152341118272,13,6,grocery,0
3.490312015826214,11,0,restaurant,0
250.13909282627372,8,5,grocery,0
65.35599577338908,13,6,grocery,0
51.1262019891408,12,1,restaurant,0
40.03311835370928,5,6,online,0
8.641227512583448,14,1,online,0
4.543648598594378,17,3,restaurant,0
106.23937780499986,18,6,restaurant,0
448.1514624027798,2,5,grocery,0
53.54795801216985,20,0,grocery,0
21.913050357708155,23,3,grocery,0
7.427127296730611,18,4,restaurant,0
609.1471009488747,23,2,retail,0
659.5774620073445,9,3,retail,0
19.89527369529941,6,0,grocery,0
14.849790630362635,17,4,retail,0
1.3371218705573664,12,5,retail,0
19.187256585069093,7,6,retail,0
50.3155484590243,17,4,grocery,0
54.50178576259458,0,3,online,1
23.60477607650344,17,5,grocery,0
42.297696530223114,17,1,grocery,0
99.68148246829458,22,3,restaurant,0
7.505673092547522,0,4,restaurant,0
636.4402462658516,14,6,online,0
34.13987666211895,17,6,retail,0
1015.8020158624325,5,2,online,1
52.07339939169915,17,5,restaurant,0
9.648378121251401,10,1,grocery,0
441.83892188123633,12,4,online,0
21.22676321911051,17,4,restaurant,0
17.90283476779903,12,5,grocery,0
6.177576787109962,17,4,grocery,0
6.459474417563107,9,2,retail,0
784.8229121475129,9,1,restaurant,0
33.00492085605167,4,2,retail,0
36.64804716906631,10,2,restaurant,0
25.61094059408139,12,4,restaurant,0
56.79047939534378,22,4,retail,0
39.89411505375985,16,2,retail,0
8.95086263857728,15,6,grocery,0
40.28590342477676,11,4,restaurant,0
35.80292369129032,12,5,online,0
47.21910897272197,15,4,retail,0
119.79945335575165,0,0,restaurant,0
53.53218311711865,22,1,travel,0
18.192933659726595,23,6,online,0
31.866304146969597,19,5,online,0
34.26584540959845,18,0,online,0
59.706995942199164,19,5,restaurant,0
22.511762233273554,5,6,grocery,0
6.817151364190493,3,0,grocery,0
10.948236632051934,23,3,online,0
10.186009160188519,8,3,restaurant,0
17.184089016251686,5,5,restaurant,0
5.87568141343567,10,5,retail,0
68.29420504016974,12,6,retail,0
85.84833222791751,7,4,grocery,0
53.84138788873843,5,5,grocery,0
25.617820955646355,2,0,restaurant,0
205.97378279885214,3,6,online,0
64.29528332277678,10,3,retail,0
104.59157294546841,9,3,grocery,0
4.885913745488186,17,4,grocery,0
245.38436804438913,6,3,restaurant,0
6.130765237500105,11,5,grocery,0
72.91656274669738,0,1,restaurant,0
58.980747558362204,18,5,restaurant,0
15.298857058417383,6,5,restaurant,0
17.41036420435052,23,5,travel,1
3.7375298658038787,7,1,grocery,0
39.47907299753364,7,6,retail,0
375.8430168924244,10,0,retail,0
43.86240956151736,2,0,grocery,0
27.31860311066468,5,5,grocery,0
7.948005700449712,11,1,retail,0
59.69032470167029,7,1,grocery,0
5.9091107931502265,14,0,restaurant,0
75.05864847015103,14,3,grocery,0
7.164804732945377,16,6,grocery,0
12.490209230686954,1,1,restaurant,0
359.5061194308367,10,4,online,0
99.14626359570322,1,5,grocery,1
41.14265154010037,9,4,grocery,0
57.352928347917036,22,1,retail,0
10.57938318224093,2,6,restaurant,0
36.76034844908042,8,6,retail,0
12.619735553370845,3,5,grocery,0
126.92867750595357,17,6,online,0
13.17924075898211,20,6,online,0
75.39249208285521,15,5,restaurant,0
285.7316854520375,9,3,retail,0
131.57886723221446,23,3,retail,0
67.31367034515563,16,4,grocery,0
23.11229511528853,13,6,grocery,0
48.693705192608135,16,1,restaurant,0
3.6789454403612343,22,6,retail,0
18.4030281337943,9,0,retail,0
5.5868670932428675,13,6,retail,0
105.40625289393128,22,3,retail,0
10.617767097953243,18,6,restaurant,0
176.23485510567707,3,1,restaurant,0
34.505756908867276,21,4,grocery,0
31.35258689850702,21,3,retail,0
172.20700356120807,5,6,restaurant,0
5.43125206562152,15,0,restaurant,0
51.03593597496122,16,0,travel,0
152.36377319884826,1,5,travel,0
9.66932276951743,12,4,online,0
24.949056736906204,7,6,restaurant,0
12.204605129217423,13,2,online,0
6.741169633705878,15,4,online,0
33.37001856682941,23,6,retail,0
45.47314472926835,2,2,online,0
3.966568999749318,19,1,restaurant,0
39.403923781816374,13,4,grocery,0
2.778469799965717,3,0,grocery,0
106.7675618661946,21,4,retail,0
75.17771807092578,10,1,grocery,0
88.5606528941211,15,5,grocery,0
81.53621972122215,15,6,restaurant,0
145.29909270333425,13,0,grocery,0
60.737675608639826,12,0,retail,0
125.59888463264342,1,5,online,0
8.690351395073723,7,5,grocery,0
46.85240646543426,19,0,grocery,0
22.62780385745519,10,2,restaurant,0
134.4696434070088,16,2,grocery,0
36.650694605024725,1,3,restaurant,0
44.35547917191818,8,5,travel,0
7.023662220734111,7,5,retail,0
7.003305340688561,1,3,grocery,0
2.386017391112547,20,0,travel,0
591.0498682195285,6,6,grocery,0
22.744659335907553,5,3,restaurant,0
52.78855075499359,10,1,retail,0
298.1958600270638,21,3,online,0
281.6618151558938,6,4,grocery,0
22.58722257046342,22,1,retail,0
36.26337391098099,16,1,retail,0
4.050455365458676,12,4,retail,0
23.61444189014123,12,6,grocery,0
31.097102862740055,6,1,online,0
13.890589575543164,2,2,restaurant,0
27.338659583124596,2,3,online,0
73.6963638019385,3,6,grocery,0
46.40604397184403,16,1,restaurant,0
12.36593225889128,18,2,grocery,0
160.86058864120895,5,6,restaurant,0
31.370015980150328,5,4,retail,0
210.2692339044177,7,3,restaurant,0
76.04481505074698,20,0,restaurant,0
254.66497288257924,9,5,grocery,0
188.06108669303742,10,6,retail,0
37.82853300938544,1,2,grocery,0
22.56067771040512,18,2,restaurant,0
14.088957900970076,15,2,retail,0
41.24761692407655,5,4,retail,0
17.6046307016359,21,0,restaurant,0
20.776532651814104,12,1,restaurant,0
15.788110420785607,12,6,retail,0
124.08734069548846,2,1,retail,0
83.01770807789515,15,3,restaurant,0
117.89614532789035,19,0,restaurant,0
7.773252927429226,3,3,restaurant,0
41.33413594096067,4,2,online,0
90.03826565651534,19,6,grocery,0
22.37676008700854,8,1,online,0
35.01315534213838,17,0,online,0
52.853578943175776,16,4,grocery,0
287.3248386837808,5,3,restaurant,0
5.696533154325492,2,0,online,0
6.00402507224467,3,0,restaurant,0
930.7180165501343,6,5,grocery,0
53.7293563323962,15,5,travel,0
42.810178634696186,1,6,retail,0
8.511524180084914,14,6,grocery,0
18.20396313510715,14,3,grocery,0
33.654286658888374,1,4,grocery,0
6.658734645604822,16,6,grocery,0
15.522266896693134,22,6,retail,0
20.49555265307386,17,5,grocery,0
89.22027390016966,22,3,retail,0
20.824914052690566,3,3,restaurant,0
31.655876056791914,12,5,restaurant,0
8.397996879617578,9,0,online,0
17.57376515682611,14,4,retail,0
146.19272151261697,2,1,retail,0
90.70356278378063,23,6,retail,0
50.90766050389673,1,1,travel,0
113.12025488002173,8,6,restaurant,0
322.5156232294378,12,5,restaurant,0
14.89711905328182,15,2,online,0
76.05272935237087,9,2,grocery,0
19.26782416141255,7,0,grocery,0
3.1923390531752736,0,1,restaurant,0
54.735470372524155,3,5,retail,0
23.11236613665414,9,0,restaurant,0
4.958416477387002,15,3,retail,0
328.2261670872963,12,2,retail,0
324.22211560406294,11,2,restaurant,0
20.234272410974338,21,0,restaurant,0
17.002218994321286,17,0,restaurant,0
117.74799103330466,11,5,retail,0
53.527927456766776,22,5,online,0
117.69186477127063,13,3,online,0
1464.5825611499774,5,2,grocery,0
40.033342856236224,6,5,grocery,0
20.77557164345367,2,4,retail,0
6.071116974518431,23,4,retail,0
95.61485004501577,22,3,restaurant,0
23.52084129061634,13,6,retail,0
15.421168342688267,17,0,restaurant,0
30.416821144372534,18,2,restaurant,0
6.576143324235609,7,0,online,0
17.314570859296378,22,2,online,0
56.15253992651716,2,1,grocery,0
18.16845375678469,4,6,online,0
581.4710854400615,14,6,online,0
11.333714740744261,0,3,online,0
39.33488877839091,19,4,retail,0
323.71332407115864,14,3,travel,0
78.42171830311091,18,1,retail,0
39.518052802219444,16,4,grocery,0
